codice della navigazione	Art. 1. E' approvato il testo definitivo del Codice della navigazione, il quale avra' esecuzione a cominciare dal 21 aprile 1942-XX, sostituendo da questa data il testo emanato col R. decreto 17 gennaio 1941-XIX, n. 9. 
codice della navigazione	Art. 2. Un esemplare del testo del Codice della navigazione, firmato da Noi e contrassegnato dal Nostro Ministro Segretario di Stato per la grazia e giustizia, servira' di originale e sara' depositato e custodito nello Archivio del Regno. Ordiniamo che il presente decreto, munito del sigillo dello Stato, sia inserto nella Raccolta ufficiale delle leggi e dei decreti del Regno d'Italia, mandando a chiunque spetti di osservarlo e di farlo osservare. Dato a Roma, addi' 30 marzo 1942-XX VITTORIO EMANUELE Mussolini - Grandi Visto, il Guardasigilli: Grandi Registrato alla Corte dei conti, addi' 17 aprile 1942-XX Atti del Governo, registro 444, foglio 50. - Mancini CODICE DELLA NAVIGAZIONE 
codice della navigazione	Art. 1. (Fonti del diritto della navigazione). In materia di navigazione, marittima, interna ed aerea, si applicano il presente codice, le leggi, i regolamenti, le norme corporative e gli usi ad essa relativi. Ove manchino disposizioni del diritto della navigazione e non ve ne siano di applicabili per analogia, si applica il diritto civile. 
codice della navigazione	Art. 2. ((Mare territoriale.)) ((Sono soggetti alla sovranita' dello Stato i golfi, i seni e le baie, le cui coste fanno parte del territorio della Repubblica, quando la distanza fra i punti estremi dell'apertura del golfo, del seno o della baia non supera le ventiquattro miglia marine. Se tale distanza e' superiore a ventiquattro miglia marine, e' soggetta alla sovranita' dello Stato la porzione del golfo, del seno o della baia compresa entro la linea retta tirata tra i due punti piu' foranei distanti tra loro ventiquattro miglia marine. E' soggetta altresi' alla sovranita' dello Stato la zona di mare dell'estensione di dodici miglia marine lungo le coste continentali ed insulari della Repubblica e lungo le linee rette congiungenti i punti estremi indicati nel comma precedente. Tale estensione si misura dalla linea costiera segnata dalla bassa marea. Sono salve le diverse disposizioni che siano stabilite per determinati effetti da leggi o regolamenti ovvero da convenzioni internazionali)). 
codice della navigazione	Art. 3. (Spazio aereo soggetto alla sovranita' dello Stato). E' soggetto alla sovranita' dello Stato lo spazio aereo che sovrasta il territorio del Regno ed il relativo mare territoriale. 
codice della navigazione	Art. 4. (Navi e aeromobili italiani in localita' non soggette alla sovranita' di alcuno stato). Le navi italiane in alto mare e gli aeromobili italiani in luogo o spazio non soggetto alla sovranita' di alcuno Stato sono considerati come territorio italiano. ((43))   Il D.P.R. 21 febbraio 1990, n. 66 ha disposto (con l'art. 8, comma 1, lettera a)) che durante il periodo di temporanea abilitazione alla navigazione ed all'uso della bandiera italiana la nave e' considerata italiana ai fini di cui al presente articolo. Ha inoltre disposto (con l'art. 14, comma 1, lettera a)) che durante il periodo di sospensione temporanea dell'abilitazione alla navigazione ed all'uso della bandiera la nave non e' considerata italiana ai fini di cui al presente articolo. 
codice della navigazione	Art. 5. (Legge regolatrice degli atti compiuti a bordo di navi e di aeromobili in navigazione). Gli atti ed i fatti compiuti a bordo di una nave o di un aeromobile nel corso della navigazione in luogo o spazio soggetto alla sovranita' di uno Stato estero sono regolati dalla legge nazionale della nave o dell'aeromobile in tutti i casi nei quali, secondo le disposizioni sull'applicazione delle leggi in generale, dovrebbe applicarsi la legge del luogo dove l'atto e' compiuto o il fatto e' avvenuto. La disposizione del comma precedente si applica agli atti ed ai fatti compiuti a bordo di una nave o di un aeromobile di nazionalita' estera nel corso della navigazione in luogo o spazio soggetto alla sovranita' dello Stato italiano, sotto condizione di reciprocita' da parte dello Stato al quale la nave o l'aeromobile appartiene. ((43))   Il D.P.R. 21 febbraio 1990, n. 66 ha disposto (con l'art. 8, comma 1, lettera b)) che durante il periodo di temporanea abilitazione alla navigazione ed all'uso della bandiera italiana si intende per "legge nazionale della nave" quella italiana ai fini di cui al presente articolo. Ha inoltre disposto (con l'art. 14, comma 1, lettera b)) che durante il periodo di sospensione temporanea dell'abilitazione alla navigazione ed all'uso della bandiera fatte salve le disposizioni di cui all'art. 29, commi 2 e 3, della legge 14 giugno 1989, n. 234, in materia di lavoro marittimo, ai fini di cui al presente articolo, si intende per "legge nazionale della nave" quella dello Stato straniero nei cui appositi registri la nave e' iscritta. 
codice della navigazione	Art. 6. (Legge regolatrice dei diritti reali e di garanzia su navi ed aeromobili). La proprieta', gli altri diritti reali e i diritti di garanzia sulle navi e sugli aeromobili, nonche' le forme di pubblicita' degli atti di costituzione, trasmissione ed estinzione di tali diritti, sono regolati dalla legge nazionale della nave o dell'aeromobile. ((43))   Il D.P.R. 21 febbraio 1990, n. 66 ha disposto (con l'art. 8, comma 1, lettera c)) che durante il periodo di temporanea abilitazione alla navigazione ed all'uso della bandiera italiana si intende per "legge nazionale della nave" quella dello Stato responsabile del registro sottostante ai fini di cui al presente articolo. Ha inoltre disposto (con l'art. 14, comma 1, lettera c)) che durante il periodo di sospensione temporanea dell'abilitazione alla navigazione ed all'uso della bandiera si intende per "legge nazionale della nave" quella italiana ai fini di cui al presente articolo. 
codice della navigazione	Art. 7. (Legge regolatrice della responsabilita' dell'armatore e dell'esercente). La responsabilita' dell'armatore della nave o dello esercente dell'aeromobile per atti o fatti dell'equipaggio e' regolata dalla legge nazionale della nave o dell'aeromobile. La stessa legge regola i limiti legali del debito complessivo o della responsabilita' dell'armatore o dell'esercente anche per le obbligazioni da loro personalmente assunte. ((43))   Il D.P.R. 21 febbraio 1990, n. 66 ha disposto (con l'art. 8, comma 1, lettera b)) che durante il periodo di temporanea abilitazione alla navigazione ed all'uso della bandiera italiana si intende per "legge nazionale della nave" quella italiana ai fini di cui al presente articolo. Ha inoltre disposto (con l'art. 14, comma 1, lettera b)) che durante il periodo di sospensione temporanea dell'abilitazione alla navigazione ed all'uso della bandiera fatte salve le disposizioni di cui all'art. 29, commi 2 e 3, della legge 14 giugno 1989, n. 234, in materia di lavoro marittimo, ai fini di cui al presente articolo, si intende per "legge nazionale della nave" quella dello Stato straniero nei cui appositi registri la nave e' iscritta. 
codice della navigazione	Art. 8 (Legge regolatrice dei poteri e dei doveri del comandante). I poteri, i doveri e le attribuzioni del comandante della nave o dell'aeromobile sono regolati dalla legge nazionale della nave o dell'aeromobile. ((43))   Il D.P.R. 21 febbraio 1990, n. 66 ha disposto (con l'art. 8, comma 1, lettera b)) che durante il periodo di temporanea abilitazione alla navigazione ed all'uso della bandiera italiana si intende per "legge nazionale della nave" quella italiana ai fini di cui al presente articolo. Ha inoltre disposto (con l'art. 14, comma 1, lettera b)) che durante il periodo di sospensione temporanea dell'abilitazione alla navigazione ed all'uso della bandiera fatte salve le disposizioni di cui all'art. 29, commi 2 e 3, della legge 14 giugno 1989, n. 234, in materia di lavoro marittimo, ai fini di cui al presente articolo, si intende per "legge nazionale della nave" quella dello Stato straniero nei cui appositi registri la nave e' iscritta. 
